city,latitude,longitude
"  new york ",40.7128,-74.0060
LONDON,51.5074,-0.1278
  Tokyo,35.6895,139.6917
paris  ,48.8566,2.3522
BeRliN,52.5200,13.4050
"Sao Paulo!!",-23.5505,-46.6333
 MUMBAI ,19.0760,72.8777
 Cairo,30.0444,31.2357
sydney,-33.8688,151.2093
Moscow  ,55.7558,37.6173
"  Toronto",43.6532,-79.3832
BANGKOK,13.7563,100.5018
Lagos***,6.5244,3.3792
 dubai ,25.2048,55.2708
"  Bengaluru  ",12.9716,77.5946
new delhi,28.7041,77.1025
HYDERABAD,17.3850,78.4867
 Chennai***,13.0827,80.2707
kolkata  ,22.5726,88.3639
"  Jaipur ",26.9124,75.7873
